0:0:0,3760385.586412669,23.42,32.88,975.21,NaN,NaN,22.58,40.94,-0.017578125,0.021484375,0.98046875,324.1168459217953,0,0,0,NaN,NaN,NaN,27406
0:0:3,3770771.0011507478,23.43,32.75,975.2,NaN,NaN,22.6,40.87,-0.060546875,0.03515625,1.0,324.460432544439,0.0,0.0,,NaN,NaN,NaN,27387
0:0:7,3757798.1651376146,23.45,32.638,975.17,NaN,NaN,22.86,50.21,-0.056640625,0.03515625,1.0234375,324.460432544439,0.0,0.0,,NaN,NaN,NaN,27402
0:0:10,3755214.3020857205,23.47,32.823,975.17,NaN,NaN,23.54,64.04,-0.06640625,0.029296875,1.0078125,324.1168459217953,0.0,0.0,,NaN,NaN,NaN,27448
0:0:14,3773376.324274528,23.49,33.266,975.16,NaN,NaN,24.06,71.03,-0.072265625,0.037109375,1.013671875,323.77327071338925,0.0,0.0,,NaN,NaN,NaN,27484
0:0:18,3762976.5732659623,23.51,34.573,975.21,NaN,NaN,25.1,78.61,-0.0625,0.02734375,1.009765625,324.1168459217953,0.0,0.0,,NaN,NaN,NaN,27514
0:0:22,3773376.324274528,23.54,35.438,975.2,NaN,NaN,25.7,84.08,-0.064453125,0.044921875,1.0078125,324.3745348186435,0.0,0.0,,NaN,NaN,NaN,27534
0:0:25,3775985.2500576167,23.55,34.487,975.2,NaN,NaN,25.79,86.11,-0.06640625,0.037109375,1.01953125,324.03095104964285,NaN,NaN,NaN,NaN,NaN,NaN,27545
0:0:29,3778597.78597786,23.57,33.677,975.17,NaN,NaN,25.73,86.77,-0.056640625,0.037109375,1.0,323.6873786946634,0.0,0.0,,NaN,NaN,NaN,27556
0:0:33,3775985.2500576167,23.58,33.162,975.17,NaN,NaN,25.56,87.02,-0.064453125,0.03515625,1.01171875,323.77327071338925,0.0,0.0,,NaN,NaN,NaN,27555
0:0:37,3770771.0011507478,23.6,32.838,975.2,NaN,NaN,25.36,87.11,-0.0546875,0.025390625,1.01953125,323.3438177528634,0.0,0.0,,NaN,NaN,NaN,27550
0:0:40,3804923.362749652,23.62,32.597,975.18,NaN,NaN,25.18,87.11,-0.05859375,0.029296875,0.99609375,324.5463309836724,0.0,0.0,,NaN,NaN,NaN,27530
0:0:44,3791714.880814626,23.64,32.422,975.21,NaN,NaN,24.98,87.07,-0.05859375,0.033203125,1.013671875,324.1168459217953,0.0,0.0,,NaN,NaN,NaN,27528
0:0:48,3786457.1296510287,23.65,32.303,975.23,NaN,NaN,24.86,86.95,-0.05859375,0.025390625,1.0234375,323.85916344544967,0.0,0.0,,NaN,NaN,NaN,27498
0:0:52,3786457.1296510287,23.67,32.219,975.19,NaN,NaN,24.72,86.77,-0.060546875,0.037109375,1.015625,324.9758338819484,0.0,0.0,,NaN,NaN,NaN,27489
0:0:55,3775985.2500576167,23.68,32.119,975.2,NaN,NaN,24.59,86.36,-0.0546875,0.037109375,1.021484375,323.51559679716576,0.0,0.0,,NaN,NaN,NaN,27489
0:0:59,3778597.78597786,23.69,32.053,975.2,NaN,NaN,24.51,85.89,-0.0546875,0.037109375,1.0234375,323.1720415616382,NaN,NaN,NaN,NaN,NaN,NaN,27485
0:1:3,3799628.942486085,23.69,32.185,975.24,NaN,NaN,24.42,85.49,-0.052734375,0.037109375,1.00390625,324.03095104964285,0.0,0.0,,NaN,NaN,NaN,27492
0:1:7,3799628.942486085,23.69,32.064,975.24,NaN,NaN,24.33,85.06,-0.05078125,0.03125,1.01171875,323.60148738925716,0.0,0.0,,NaN,NaN,NaN,27497
0:1:10,3794349.235757295,23.69,31.933,975.23,NaN,NaN,24.21,84.4,-0.064453125,0.03515625,1.017578125,323.6873786946634,0.0,0.0,,NaN,NaN,NaN,27476
0:1:14,3804923.362749652,23.7,32.07,975.22,NaN,NaN,24.32,84.12,-0.0546875,0.02734375,1.013671875,323.94505689086424,0.0,0.0,,NaN,NaN,NaN,27486
0:1:18,3796987.2537659327,23.71,32.179,975.2,NaN,NaN,24.68,76.58,-0.048828125,0.04296875,1.001953125,324.2027415073364,0.0,0.0,,NaN,NaN,NaN,27480
0:1:22,3794349.235757295,23.72,32.621,975.21,NaN,NaN,28.36,72.49,-0.060546875,0.033203125,0.990234375,322.74261356511744,0.0,0.0,,NaN,NaN,NaN,27533
0:1:25,3807576.1096909135,23.75,33.892,975.24,NaN,NaN,26.78,91.9,-0.0546875,0.037109375,1.0,323.6873786946634,0.0,0.0,,NaN,NaN,NaN,27547
0:1:29,3789084.1813135985,23.77,34.509,975.25,NaN,NaN,26.8,84.97,-0.0703125,0.029296875,1.00390625,324.2027415073364,0.0,0.0,,NaN,NaN,NaN,27558
0:1:33,3807576.1096909135,23.8,34.998,975.23,NaN,NaN,26.92,80.56,-0.05859375,0.044921875,1.001953125,323.77327071338925,0.0,0.0,,NaN,NaN,NaN,27587
0:1:37,3810232.558139535,23.82,34.248,975.21,NaN,NaN,26.73,76.2,-0.076171875,0.03515625,1.013671875,325.31944904389235,0.0,0.0,,NaN,NaN,NaN,27603
0:1:40,3812892.715848266,23.83,33.544,975.21,NaN,NaN,26.53,70.37,-0.05078125,0.029296875,1.017578125,324.80403058216206,0.0,0.0,,NaN,NaN,NaN,27588
0:1:44,3815556.5905915233,23.83,33.015,975.21,NaN,NaN,26.36,64.34,-0.052734375,0.037109375,1.033203125,323.1720415616382,0.0,0.0,,NaN,NaN,NaN,27588
0:1:48,3837002.3419203744,23.84,32.653,975.2,NaN,NaN,26.19,59.17,-0.060546875,0.037109375,1.01171875,323.4297069183695,NaN,NaN,NaN,NaN,NaN,NaN,27573
